"Table 2. Life table for males: United States, 2013",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
,qx,lx,dx,Lx,Tx,ex,,,,
0-1,0.006514,"100,000",651,"99,427","7,641,771",76.4,,,,
1-2,0.000463,"99,349",46,"99,326","7,542,343",75.9,,,,
2-3,0.000289,"99,303",29,"99,288","7,443,018",75.0,,,,
3-4,0.000209,"99,274",21,"99,263","7,343,729",74.0,,,,
4-5,0.000180,"99,253",18,"99,244","7,244,466",73.0,,,,
5-6,0.000165,"99,235",16,"99,227","7,145,222",72.0,,,,
6-7,0.000148,"99,219",15,"99,211","7,045,995",71.0,,,,
7-8,0.000132,"99,204",13,"99,198","6,946,783",70.0,,,,
8-9,0.000115,"99,191",11,"99,185","6,847,586",69.0,,,,
9-10,0.000099,"99,180",10,"99,175","6,748,400",68.0,,,,
10-11,0.000090,"99,170",9,"99,165","6,649,226",67.0,,,,
11-12,0.000097,"99,161",10,"99,156","6,550,060",66.1,,,,
12-13,0.000130,"99,151",13,"99,145","6,450,904",65.1,,,,
13-14,0.000196,"99,139",19,"99,129","6,351,759",64.1,,,,
14-15,0.000289,"99,119",29,"99,105","6,252,630",63.1,,,,
15-16,0.000386,"99,090",38,"99,071","6,153,526",62.1,,,,
16-17,0.000486,"99,052",48,"99,028","6,054,454",61.1,,,,
17-18,0.000605,"99,004",60,"98,974","5,955,426",60.2,,,,
18-19,0.000740,"98,944",73,"98,907","5,856,452",59.2,,,,
19-20,0.000880,"98,871",87,"98,827","5,757,545",58.2,,,,
20-21,0.001024,"98,784",101,"98,733","5,658,717",57.3,,,,
21-22,0.001152,"98,683",114,"98,626","5,559,984",56.3,,,,
22-23,0.001245,"98,569",123,"98,508","5,461,358",55.4,,,,
23-24,0.001296,"98,446",128,"98,382","5,362,851",54.5,,,,
24-25,0.001316,"98,319",129,"98,254","5,264,468",53.5,,,,
25-26,0.001326,"98,189",130,"98,124","5,166,214",52.6,,,,
26-27,0.001342,"98,059",132,"97,993","5,068,090",51.7,,,,
27-28,0.001362,"97,927",133,"97,861","4,970,097",50.8,,,,
28-29,0.001392,"97,794",136,"97,726","4,872,236",49.8,,,,
29-30,0.001429,"97,658",140,"97,588","4,774,510",48.9,,,,
30-31,0.001470,"97,518",143,"97,447","4,676,922",48.0,,,,
31-32,0.001509,"97,375",147,"97,302","4,579,476",47.0,,,,
32-33,0.001543,"97,228",150,"97,153","4,482,174",46.1,,,,
33-34,0.001571,"97,078",153,"97,002","4,385,021",45.2,,,,
34-35,0.001601,"96,926",155,"96,848","4,288,019",44.2,,,,
35-36,0.001640,"96,770",159,"96,691","4,191,171",43.3,,,,
36-37,0.001698,"96,612",164,"96,530","4,094,480",42.4,,,,
37-38,0.001774,"96,448",171,"96,362","3,997,951",41.5,,,,
38-39,0.001868,"96,276",180,"96,187","3,901,589",40.5,,,,
39-40,0.001978,"96,097",190,"96,002","3,805,402",39.6,,,,
40-41,0.002105,"95,906",202,"95,806","3,709,401",38.7,,,,
41-42,0.002253,"95,705",216,"95,597","3,613,595",37.8,,,,
42-43,0.002425,"95,489",232,"95,373","3,517,998",36.8,,,,
43-44,0.002631,"95,257",251,"95,132","3,422,625",35.9,,,,
44-45,0.002875,"95,007",273,"94,870","3,327,493",35.0,,,,
45-46,0.003143,"94,734",298,"94,585","3,232,623",34.1,,,,
46-47,0.003443,"94,436",325,"94,273","3,138,038",33.2,,,,
47-48,0.003798,"94,111",357,"93,932","3,043,765",32.3,,,,
48-49,0.004205,"93,753",394,"93,556","2,949,833",31.5,,,,
49-50,0.004645,"93,359",434,"93,142","2,856,277",30.6,,,,
50-51,0.005090,"92,925",473,"92,689","2,763,135",29.7,,,,
51-52,0.005541,"92,452",512,"92,196","2,670,446",28.9,,,,
52-53,0.006026,"91,940",554,"91,663","2,578,250",28.0,,,,
53-54,0.006565,"91,386",600,"91,086","2,486,587",27.2,,,,
54-55,0.007158,"90,786",650,"90,461","2,395,501",26.4,,,,
55-56,0.007794,"90,136",703,"89,785","2,305,040",25.6,,,,
56-57,0.008451,"89,434",756,"89,056","2,215,255",24.8,,,,
57-58,0.009124,"88,678",809,"88,273","2,126,199",24.0,,,,
58-59,0.009803,"87,869",861,"87,438","2,037,926",23.2,,,,
