"Table 2. Life table for males: United States, 2015",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
,qx,lx,dx,Lx,Tx,ex
0-1,0.006387,"100,000",639,"99,441","7,629,835",76.3
1-2,0.000452,"99,361",45,"99,339","7,530,394",75.8
2-3,0.000277,"99,316",28,"99,303","7,431,055",74.8
3-4,0.000224,"99,289",22,"99,278","7,331,753",73.8
4-5,0.000165,"99,267",16,"99,258","7,232,475",72.9
5-6,0.000164,"99,250",16,"99,242","7,133,217",71.9
6-7,0.000147,"99,234",15,"99,227","7,033,975",70.9
7-8,0.000132,"99,219",13,"99,213","6,934,748",69.9
8-9,0.000116,"99,206",11,"99,201","6,835,535",68.9
9-10,0.000100,"99,195",10,"99,190","6,736,335",67.9
10-11,0.000092,"99,185",9,"99,180","6,637,145",66.9
11-12,0.000100,"99,176",10,"99,171","6,537,965",65.9
12-13,0.000137,"99,166",14,"99,159","6,438,794",64.9
13-14,0.000208,"99,152",21,"99,142","6,339,635",63.9
14-15,0.000307,"99,132",30,"99,116","6,240,493",63.0
15-16,0.000411,"99,101",41,"99,081","6,141,377",62.0
16-17,0.000519,"99,061",51,"99,035","6,042,296",61.0
17-18,0.000646,"99,009",64,"98,977","5,943,261",60.0
18-19,0.000791,"98,945",78,"98,906","5,844,284",59.1
19-20,0.000941,"98,867",93,"98,820","5,745,378",58.1
20-21,0.001095,"98,774",108,"98,720","5,646,558",57.2
21-22,0.001233,"98,666",122,"98,605","5,547,838",56.2
22-23,0.001336,"98,544",132,"98,478","5,449,233",55.3
23-24,0.001396,"98,412",137,"98,344","5,350,755",54.4
24-25,0.001426,"98,275",140,"98,205","5,252,411",53.4
25-26,0.001445,"98,135",142,"98,064","5,154,207",52.5
26-27,0.001470,"97,993",144,"97,921","5,056,143",51.6
27-28,0.001497,"97,849",147,"97,776","4,958,222",50.7
28-29,0.001534,"97,702",150,"97,628","4,860,446",49.7
29-30,0.001577,"97,553",154,"97,476","4,762,819",48.8
30-31,0.001623,"97,399",158,"97,320","4,665,343",47.9
31-32,0.001667,"97,241",162,"97,160","4,568,023",47.0
32-33,0.001709,"97,079",166,"96,996","4,470,864",46.1
33-34,0.001750,"96,913",170,"96,828","4,373,868",45.1
34-35,0.001793,"96,743",173,"96,656","4,277,041",44.2
35-36,0.001845,"96,569",178,"96,480","4,180,384",43.3
36-37,0.001910,"96,391",184,"96,299","4,083,904",42.4
37-38,0.001979,"96,207",190,"96,112","3,987,605",41.4
38-39,0.002052,"96,017",197,"95,918","3,891,493",40.5
39-40,0.002134,"95,820",205,"95,718","3,795,574",39.6
40-41,0.002238,"95,615",214,"95,508","3,699,857",38.7
41-42,0.002367,"95,401",226,"95,288","3,604,348",37.8
42-43,0.002515,"95,175",239,"95,056","3,509,060",36.9
43-44,0.002684,"94,936",255,"94,809","3,414,004",36.0
44-45,0.002879,"94,681",273,"94,545","3,319,196",35.1
45-46,0.003089,"94,409",292,"94,263","3,224,651",34.2
46-47,0.003339,"94,117",314,"93,960","3,130,388",33.3
47-48,0.003662,"93,803",344,"93,631","3,036,428",32.4
