"Table 3. Life table for females: United States, 2013",,,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,,
,qx,lx,dx,Lx,Tx,ex,,,,
0-1,0.005374,"100,000",537,"99,524","8,117,726",81.2,,,,
1-2,0.000379,"99,463",38,"99,444","8,018,202",80.6,,,,
2-3,0.000219,"99,425",22,"99,414","7,918,758",79.6,,,,
3-4,0.000162,"99,403",16,"99,395","7,819,344",78.7,,,,
4-5,0.000136,"99,387",14,"99,380","7,719,949",77.7,,,,
5-6,0.000124,"99,374",12,"99,367","7,620,569",76.7,,,,
6-7,0.000110,"99,361",11,"99,356","7,521,201",75.7,,,,
7-8,0.000100,"99,350",10,"99,345","7,421,846",74.7,,,,
8-9,0.000094,"99,340",9,"99,336","7,322,500",73.7,,,,
9-10,0.000091,"99,331",9,"99,326","7,223,165",72.7,,,,
10-11,0.000093,"99,322",9,"99,317","7,123,838",71.7,,,,
11-12,0.000100,"99,313",10,"99,308","7,024,521",70.7,,,,
12-13,0.000114,"99,303",11,"99,297","6,925,213",69.7,,,,
13-14,0.000135,"99,292",13,"99,285","6,825,916",68.7,,,,
14-15,0.000162,"99,278",16,"99,270","6,726,631",67.8,,,,
15-16,0.000193,"99,262",19,"99,252","6,627,361",66.8,,,,
16-17,0.000225,"99,243",22,"99,232","6,528,109",65.8,,,,
17-18,0.000261,"99,221",26,"99,208","6,428,877",64.8,,,,
18-19,0.000299,"99,195",30,"99,180","6,329,669",63.8,,,,
19-20,0.000338,"99,165",33,"99,148","6,230,489",62.8,,,,
20-21,0.000377,"99,132",37,"99,113","6,131,341",61.9,,,,
21-22,0.000415,"99,094",41,"99,074","6,032,228",60.9,,,,
22-23,0.000447,"99,053",44,"99,031","5,933,154",59.9,,,,
23-24,0.000471,"99,009",47,"98,985","5,834,123",58.9,,,,
24-25,0.000492,"98,962",49,"98,938","5,735,138",58.0,,,,
25-26,0.000513,"98,913",51,"98,888","5,636,200",57.0,,,,
26-27,0.000537,"98,863",53,"98,836","5,537,312",56.0,,,,
27-28,0.000564,"98,810",56,"98,782","5,438,476",55.0,,,,
28-29,0.000596,"98,754",59,"98,724","5,339,694",54.1,,,,
29-30,0.000631,"98,695",62,"98,664","5,240,970",53.1,,,,
30-31,0.000670,"98,633",66,"98,600","5,142,306",52.1,,,,
31-32,0.000711,"98,567",70,"98,532","5,043,706",51.2,,,,
32-33,0.000752,"98,497",74,"98,460","4,945,175",50.2,,,,
33-34,0.000794,"98,423",78,"98,383","4,846,715",49.2,,,,
34-35,0.000841,"98,344",83,"98,303","4,748,332",48.3,,,,
35-36,0.000897,"98,262",88,"98,218","4,650,029",47.3,,,,
36-37,0.000965,"98,174",95,"98,126","4,551,811",46.4,,,,
37-38,0.001041,"98,079",102,"98,028","4,453,685",45.4,,,,
38-39,0.001122,"97,977",110,"97,922","4,355,657",44.5,,,,
39-40,0.001207,"97,867",118,"97,808","4,257,735",43.5,,,,
40-41,0.001299,"97,749",127,"97,685","4,159,927",42.6,,,,
41-42,0.001403,"97,622",137,"97,553","4,062,242",41.6,,,,
42-43,0.001523,"97,485",148,"97,411","3,964,689",40.7,,,,
43-44,0.001663,"97,336",162,"97,255","3,867,278",39.7,,,,
44-45,0.001827,"97,174",178,"97,086","3,770,023",38.8,,,,
45-46,0.002004,"96,997",194,"96,900","3,672,937",37.9,,,,
46-47,0.002197,"96,802",213,"96,696","3,576,038",36.9,,,,
47-48,0.002421,"96,590",234,"96,473","3,479,342",36.0,,,,
48-49,0.002674,"96,356",258,"96,227","3,382,869",35.1,,,,
49-50,0.002941,"96,098",283,"95,957","3,286,642",34.2,,,,
50-51,0.003212,"95,816",308,"95,662","3,190,685",33.3,,,,
51-52,0.003484,"95,508",333,"95,341","3,095,023",32.4,,,,
52-53,0.003760,"95,175",358,"94,996","2,999,682",31.5,,,,
53-54,0.004046,"94,817",384,"94,625","2,904,686",30.6,,,,
54-55,0.004351,"94,434",411,"94,228","2,810,060",29.8,,,,
55-56,0.004680,"94,023",440,"93,803","2,715,832",28.9,,,,
56-57,0.005028,"93,583",471,"93,347","2,622,029",28.0,,,,
57-58,0.005391,"93,112",502,"92,861","2,528,682",27.2,,,,
58-59,0.005766,"92,610",534,"92,343","2,435,821",26.3,,,,
59-60,0.006166,"92,076",568,"91,792","2,343,477",25.5,,,,
60-61,0.006598,"91,508",604,"91,207","2,251,685",24.6,,,,
61-62,0.007083,"90,905",644,"90,583","2,160,479",23.8,,,,
