"Table 3. Life table for females: United States, 2017",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
,qx,lx,dx,Lx,Tx,ex
0-1,0.005226,"100,000",523,"99,541","8,110,475",81.1
1-2,0.000339,"99,477",34,"99,461","8,010,934",80.5
2-3,0.000208,"99,444",21,"99,433","7,911,474",79.6
3-4,0.000159,"99,423",16,"99,415","7,812,040",78.6
4-5,0.000139,"99,407",14,"99,400","7,712,625",77.6
5-6,0.000126,"99,393",12,"99,387","7,613,225",76.6
6-7,0.000113,"99,381",11,"99,375","7,513,838",75.6
7-8,0.000104,"99,370",10,"99,365","7,414,463",74.6
8-9,0.000097,"99,359",10,"99,355","7,315,098",73.6
9-10,0.000092,"99,350",9,"99,345","7,215,744",72.6
10-11,0.000092,"99,341",9,"99,336","7,116,398",71.6
11-12,0.000098,"99,331",10,"99,327","7,017,062",70.6
12-13,0.000113,"99,322",11,"99,316","6,917,736",69.6
13-14,0.000138,"99,311",14,"99,304","6,818,420",68.7
14-15,0.000172,"99,297",17,"99,288","6,719,116",67.7
15-16,0.000210,"99,280",21,"99,269","6,619,828",66.7
16-17,0.000250,"99,259",25,"99,247","6,520,559",65.7
17-18,0.000293,"99,234",29,"99,220","6,421,312",64.7
18-19,0.000336,"99,205",33,"99,188","6,322,092",63.7
19-20,0.000379,"99,172",38,"99,153","6,222,904",62.7
20-21,0.000424,"99,134",42,"99,113","6,123,751",61.8
21-22,0.000471,"99,092",47,"99,069","6,024,638",60.8
22-23,0.000513,"99,045",51,"99,020","5,925,569",59.8
23-24,0.000550,"98,995",54,"98,967","5,826,549",58.9
24-25,0.000583,"98,940",58,"98,911","5,727,582",57.9
25-26,0.000613,"98,883",61,"98,852","5,628,670",56.9
26-27,0.000646,"98,822",64,"98,790","5,529,818",56.0
27-28,0.000682,"98,758",67,"98,724","5,431,028",55.0
28-29,0.000724,"98,691",72,"98,655","5,332,304",54.0
29-30,0.000774,"98,619",76,"98,581","5,233,649",53.1
